Status,發起人,電子領標,電子領標日,公告日,截止投標,開標時間,金額,WD,專案結束日,招標方式,決標方式,機關名稱,單位名稱,標案名稱,聯絡人,聯絡電話,電子郵件信箱,標的分類,連結,關鍵字
,Sean,Rosenna,,110/06/23,110/07/06 09:00,110/07/06 10:00,"2,850,000元",,,限制性招標(經公開評選或公開徵求),準用最有利標,高雄市政府農業局,農民組織科,110年高雄市休閒農遊軸帶營造及行銷輔導工作委託案,蔡永信,(07)7995678分機6079,yungshin@kcg.gov.tw,勞務類881-附帶於農、牧、林之服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53504321,行銷
,Sean,Rosenna,,110/06/23,110/06/28 17:00,110/06/29 14:00,,,,限制性招標(經公開評選或公開徵求),最低標,台灣中油股份有限公司,採購處南部採購中心採購一組,水質分析儀配件(MAKER:HACH/POLYMETRON) 等一批,廖頤婷,(07)5824141分機3400,208299@cpc.com.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53504368,分析
,Sean,Rosenna,,110/06/23,110/06/28 17:00,110/06/29 10:00,"602,700元",,,公開取得報價單或企劃書,最低標,國立臺北科技大學,國立臺北科技大學,租用高階雷達影像處理及分析設備乙式,張玉美,(02)27712171分機1322,mei229@ntut.edu.tw,財物類452-計算機及其零件與配件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53505477,分析
,Sean,Rosenna,,110/06/23,110/06/28 17:00,110/06/29 09:30,"710,483元",,,公開取得報價單或企劃書,最低標,國立臺北科技大學,國立臺北科技大學,地質與遙測應用分析與遠端教學設備一套,張玉美,(02)27712171分機1322,mei229@ntut.edu.tw,財物類452-計算機及其零件與配件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53505378,分析
,Sean,Rosenna,,110/06/23,110/06/30 09:00,110/06/30 11:30,"210,000元",,,公開取得報價單或企劃書,最低標,國立臺南大學附屬高級中學,國立臺南大學附屬高級中學,日誌收集及報表分析器1台,陳漢廷,(06)2338501分機405,hanting@gm.tntcsh.tn.edu.tw,財物類452-計算機及其零件與配件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53505128,分析
,Sean,Rosenna,,110/06/23,110/07/01 17:00,110/07/02 11:00,"700,000元",,,公開取得報價單或企劃書,最低標,國立中正大學,國立中正大學,溶媒輸送化學分析儀,李惠淑,(05)2720411分機13208,admhsl@ccu.edu.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53504691,分析
,Sean,Rosenna,,110/06/23,110/06/25 17:00,110/06/28 14:00,"4,170,000元",,,限制性招標(經公開評選或公開徵求),最低標,國立臺灣大學醫學院附設醫院癌醫中心分院,國立臺灣大學醫學院附設醫院癌醫中心分院,全自動血球分析儀用試劑等2項單價合約,季佳璇,(02)23220322分機38648,A00830@ntucc.gov.tw,財物類352-醫藥產品,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53504529,分析
,Sean,Rosenna,,110/06/23,110/07/08 11:00,110/07/08 14:00,"1,583,000元",,,公開招標,最低標,行政院農業委員會農業試驗所,秘書室/農化組(規格),毛細管電泳分析儀,羅小姐/郭小姐,(04)23317217,killua0284@tari.gov.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53504423,分析
,Sean,Rosenna,,110/06/23,110/08/02 17:00,110/08/03 10:00,"25,500,000元",,,公開招標,最低標,國立清華大學,國立清華大學,歐傑暨化學分析電子掃描微探儀(AES/ESCA SCANNING MICROPROBE，簡稱AES/ESCA)1組,陳小姐,(03)5715131分機31330,yujchen@mx.nthu.edu.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53504249,分析
,Sean,Rosenna,,110/06/23,110/07/05 17:30,110/07/06 09:30,"1,330,000元",,,限制性招標(經公開評選或公開徵求),準用最有利標,屏東縣政府,城鄉發展處公安使用科,屏東縣109年度土壤液化調查與風險評估計畫專案顧問,城鄉發展處公安使用科 陳柏澂先生,(08)7320415分機3362,a251254@oa.pthg.gov.tw,勞務類866-與管理顧問有關之服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53504149,顧問
