Status,發起人,電子領標,電子領標日,公告日,截止投標,開標時間,金額,WD,專案結束日,招標方式,決標方式,機關名稱,單位名稱,標案名稱,聯絡人,聯絡電話,電子郵件信箱,標的分類,連結,關鍵字
,EY_Crawler,TBD,,110/07/26,110/08/05 17:00,110/08/05 17:10,"2,000,000元",,,限制性招標(經公開評選或公開徵求),準用最有利標,財團法人台灣優良農產品發展協會,推廣組,臺灣農產嘉年華網路購物活動行銷活動企劃案,吳佩珊,(02)23567417分機20,candy@cas.org.tw,勞務類879-其他商業服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531696,行銷
,EY_Crawler,TBD,,110/07/26,110/08/02 17:00,110/08/03 10:00,"14,936,000元",,,公開招標,最低標,新竹市北區北門國民小學,新竹市北區北門國民小學,新竹市110-111年數位學習推動計畫,許志銘,(03)5316668分機205,bmps04@hc.edu.tw,財物類452-計算機及其零件與配件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53530148,數位
,EY_Crawler,TBD,,110/07/26,110/07/27 17:00,110/07/28 09:30,"800,000元",,,公開取得報價單或企劃書,參考最有利標精神,新北市政府文化局,新北市政府文化局,「2021年全國古蹟日—文資萬花筒‧異想新北」數位推廣,張先生/業務單位謝小姐分機4548,(02)29603456分機4572,AJ1987@ntpc.gov.tw,"勞務類96-娛樂,文化,體育服務",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53529764,數位
,EY_Crawler,TBD,,110/07/26,110/08/05 17:00,110/08/06 14:00,"2,593,500元",,,公開招標,最低標,台灣電力股份有限公司綜合研究所,台灣電力股份有限公司綜合研究所,數位式開關動作時間測定器 3 套,鄭文彥,(02)23601355,u158360@taipower.com.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53526576,數位
,EY_Crawler,TBD,,110/07/23,110/07/29 17:00,110/07/30 14:30,"1,500,000元",,,公開招標,最低標,內政部警政署刑事警察局,內政部警政署刑事警察局,110年度駭侵資安事件調查設備,胡僑芯,(02)27650431,hsin1024@cib.npa.gov.tw,財物類449-其他特殊用途之機具及其零件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53526484,資安
,EY_Crawler,TBD,,110/07/23,110/07/28 17:30,110/07/29 10:30,"600,000元",,,公開取得報價單或企劃書,最低標,法務部矯正署綠島監獄,法務部矯正署綠島監獄,法務部矯正署綠島監獄110年數位監控設備採購案,謝政煌,(089)672502分機229,tunya@mail.moj.gov.tw,"財物類483-光學儀器, 攝影設備及其零件與附件",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531688,數位
,EY_Crawler,TBD,,110/07/23,110/07/29 08:30,110/07/29 09:30,"4,000,000元",,,公開招標,最低標,國防部後備指揮部,國防部後備指揮部,數位迷彩指揮帳,林銘祥,(02)23142626,rcpsld@mail.mil.tw,財物類27-除服裝以外之紡織品,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531093,數位
,EY_Crawler,TBD,,110/07/23,110/08/02 17:30,110/08/03 10:00,"3,871,000元",,,公開招標,最低標,經濟部加工出口區管理處,經濟部加工出口區管理處,高雄軟體園區數位監控錄影系統建置案,湯惠茗,(07)3611212分機519,tang4259@epza.gov.tw,"財物類483-光學儀器, 攝影設備及其零件與附件",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531222,數位
,EY_Crawler,TBD,,110/07/23,110/07/27 17:00,110/07/28 15:00,"3,951,000元",,,限制性招標(經公開評選或公開徵求),準用最有利標,臺北市政府體育局,臺北市政府體育局,2025雙北世界壯年運動會場館賽會需求、友善環境及數位化機能體檢案,張小姐,(02)25702330分機80轉1013,tms_yhc8129@mail.taipei.gov.tw,"勞務類96-娛樂,文化,體育服務",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531437,數位
,EY_Crawler,TBD,,110/07/23,110/08/09 09:00,110/08/09 10:00,"12,640,000元",,,公開招標,最有利標,國立嘉義大學,總務處/事務組,數位學習教室暨智慧會議室建置,張紀宜,(05)2717111,kugest@mail.ncyu.edu.tw,財物類389-其他製造商品,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531661,數位
,EY_Crawler,TBD,,110/07/23,110/08/03 12:00,110/08/04 11:00,"500,000元",,,公開取得報價單或企劃書,最低標,嘉藥學校財團法人嘉南藥理大學,總務處事務組,數位講桌,李燕惠,(06)2664911分機1304,yen1130@mail.cnu.edu.tw,財物類452-計算機及其零件與配件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531995,數位
,EY_Crawler,TBD,,110/07/23,110/07/28 08:00,110/07/29 10:00,"139,000元",,,公開取得報價單或企劃書,參考最有利標精神,新北市立秀峰高級中學,總務處,110年度國教署補助高級中等學校充實一般科目教學設備計畫之數位鋼琴採購案,鍾穎軒,(02)26412134分機411,a061017@ms.sfhs.ntpc.edu.tw,財物類383-樂器,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531783,數位
,EY_Crawler,TBD,,110/07/23,110/08/02 17:00,110/08/03 10:00,"265,650元",,,限制性招標(經公開評選或公開徵求),最低標,國立臺灣大學醫學院附設醫院,醫學工程部,多頻道分析儀零件更換維修案,丁麗姿,(02)23123456分機61430,shelly@ntuh.gov.tw,"財物類481-醫療, 外科及矯形設備",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53532401,分析
,EY_Crawler,TBD,,110/07/23,110/07/29 10:00,110/07/29 11:00,"401,000元",,,公開取得報價單或企劃書,參考最有利標精神,澎湖縣立馬公國民中學,總務處,馬公國中110年數位學習推動計畫新科技載具及載具系統採購,尤智誠,(06)9263367分機020,abula0522@gmail.com,"財物類483-光學儀器, 攝影設備及其零件與附件",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53532099,數位
,EY_Crawler,TBD,,110/07/23,110/08/09 17:00,110/08/10 14:00,"328,000元",,,公開取得報價單或企劃書,最低標,國立臺灣大學醫學院附設醫院雲林分院,國立臺灣大學醫學院附設醫院雲林分院,光學顯微鏡附無線數位影像設備1組,施姿君,(05)5323911分機2235,Y02751@ms1.ylh.gov.tw,"財物類481-醫療, 外科及矯形設備",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53532235,數位
,EY_Crawler,TBD,,110/07/23,110/07/29 09:00,110/07/29 10:00,"600,000元",,,公開取得報價單或企劃書,參考最有利標精神,新北市政府衛生局,新北市政府衛生局,110年度新北市心理健康促進數位課程,巫小姐/廖先生,(02)22577155分機2856/3166,AF5555@ntpc.gov.tw,勞務類911-政府行政服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53532512,數位
,EY_Crawler,TBD,,110/07/23,110/07/29 17:00,110/07/30 11:15,,,,公開招標,最低標,私立明志科技大學,私立明志科技大學,5G FR2 MMWAVE模擬基地站 詳規範 共1ST,鄭盈盈,(02)27178587,yycheng@fpg.com.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53530599,5G
,EY_Crawler,TBD,,110/07/23,110/07/29 17:30,110/07/30 09:00,"900,000元",,,公開取得報價單或企劃書,參考最有利標精神,金門縣金湖鎮公所,金門縣金湖鎮公所,金湖鎮新市里辦公處採購數位全彩LED電視牆,洪國慶,(082)332528分機206,ching1689@gmail.com,"財物類47-收音機、電視, 通訊器材及儀器",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531067,數位
,EY_Crawler,TBD,,110/07/23,110/07/28 17:00,110/07/29 08:40,"1,150,000元",,,公開招標,最低標,國立陽明交通大學附設醫院,國立陽明交通大學附設醫院,口內數位掃描機1台,沈冠汝,(03)9325192分機10886,16254@ymuh.ym.edu.tw,"財物類481-醫療, 外科及矯形設備",https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53530545,數位
,EY_Crawler,TBD,,110/07/23,110/07/29 09:30,110/07/29 10:00,"250,000元",,,公開取得報價單或企劃書,參考最有利標精神,雲林縣立東明國民中學,雲林縣立東明國民中學,東明國中5G新科技學習示範學校VR設備採購,劉長杰,(05)5975474分機31,liulong4689@gmail.com,財物類452-計算機及其零件與配件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53532439,5G
,EY_Crawler,TBD,,110/07/23,110/07/28 17:00,110/07/29 10:00,"500,000元",,,公開取得報價單或企劃書,參考最有利標精神,國家海洋研究院,國家海洋研究院,海域鋁含量採樣分析,蔡正峯,(07)3382097分機263207,minka@namr.gov.tw,勞務類8676-技術檢定與分析服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531253,分析
,EY_Crawler,TBD,,110/07/23,110/07/29 17:00,110/07/30 14:00,"491,000元",,,公開取得報價單或企劃書,最低標,國家運動訓練中心,國家運動訓練中心,110年度購買鏈球擲遠動作分析系統案,規格-田先生(分機1054);採購-林小姐(分機1091),(07)5821100,linshiang@mail.nstc.org.tw,財物類384-運動商品,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531870,分析
,EY_Crawler,TBD,,110/07/23,110/07/29 17:00,110/07/30 10:00,"8,657,427元",,,公開招標,最低標,台灣中油股份有限公司,採購處,110-111年桃廠線上GC、氣體分析儀維護長約工作,曾小姐,(02)87258324,207446@cpc.com.tw,勞務類97-其他服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531762,分析
,EY_Crawler,TBD,,110/07/23,110/08/10 17:00,110/08/11 14:00,"2,780,000元",,,公開招標,最低標,國立臺灣大學醫學院附設醫院,醫學工程部,「高通量核酸定序分析儀與相關配件」三年期維護保養合約,單美麗,(02)23123456分機61435,beauty01@ntuh.gov.tw,勞務類886-附帶於金屬產品、機械及設備維修之服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53531745,分析
